race,id,county_fips,party,votes,county_total_votes,county_vote_percent
President,02930,02930,IND,17.0,10174.0,0.0016709258895223117
President,02930,02930,ALI,3.0,10174.0,0.00029486927462158444
President,02931,02931,REP,6956.0,12389.0,0.5614658164500766
President,02931,02931,DEM,5032.0,12389.0,0.40616676083622566
President,02931,02931,LIB,250.0,12389.0,0.020179191218015983
President,02931,02931,GRN,99.0,12389.0,0.007990959722334328
President,02931,02931,CST,27.0,12389.0,0.002179352651545726
President,02931,02931,IND,18.0,12389.0,0.0014529017676971508
President,02931,02931,ALI,7.0,12389.0,0.0005650173541044475
President,02932,02932,REP,4427.0,8310.0,0.5327316486161251
President,02932,02932,DEM,3495.0,8310.0,0.42057761732851984
President,02932,02932,LIB,238.0,8310.0,0.028640192539109505
President,02932,02932,GRN,104.0,8310.0,0.012515042117930204
President,02932,02932,CST,21.0,8310.0,0.002527075812274368
President,02932,02932,IND,21.0,8310.0,0.002527075812274368
President,02932,02932,ALI,4.0,8310.0,0.0004813477737665463
President,02933,02933,DEM,7534.0,10951.0,0.6879737010318693
President,02933,02933,REP,3057.0,10951.0,0.27915258880467536
President,02933,02933,LIB,197.0,10951.0,0.01798922472833531
President,02933,02933,GRN,102.0,10951.0,0.009314217879645694
President,02933,02933,CST,27.0,10951.0,0.0024655282622591543
President,02933,02933,IND,25.0,10951.0,0.0022828965391288466
President,02933,02933,ALI,9.0,10951.0,0.0008218427540863848
President,02934,02934,DEM,5759.0,10723.0,0.5370698498554509
President,02934,02934,REP,4541.0,10723.0,0.42348223444931454
President,02934,02934,LIB,279.0,10723.0,0.026018838011750443
President,02934,02934,GRN,68.0,10723.0,0.006341508906089714
President,02934,02934,CST,36.0,10723.0,0.003357269420871025
President,02934,02934,IND,34.0,10723.0,0.003170754453044857
